Date,Open,High,Low,Close,Adj Close,Volume
2016-07-14,139.279999,139.839996,139.089996,139.589996,115.310959,10817000
2016-07-15,138.889999,139.110001,138.179993,138.389999,114.319687,9958600
2016-07-18,139.070007,139.259995,137.729996,138.259995,114.212303,5955900
2016-07-19,138.940002,139.309998,138.399994,139.039993,114.856590,8073900
2016-07-20,138.229996,138.509995,137.910004,138.279999,114.228783,6942500
2016-07-21,137.039993,138.619995,136.990005,138.559998,114.460045,10398400
2016-07-22,137.929993,139.240005,137.869995,138.800003,114.658333,5811400
2016-07-25,138.940002,139.259995,138.589996,138.699997,114.575783,4243800
2016-07-26,139.520004,139.520004,138.460007,138.919998,114.757454,5243400
2016-07-27,139.550003,140.649994,139.399994,140.649994,116.186577,8508100
2016-07-28,139.800003,140.839996,139.710007,140.389999,115.971817,7336100
2016-07-29,140.449997,141.679993,140.220001,141.559998,116.938316,8766700
2016-08-01,139.779999,140.500000,139.610001,139.770004,115.670471,9809300
2016-08-02,137.830002,139.259995,137.500000,138.330002,114.478767,10051200
2016-08-03,138.600006,138.779999,137.910004,138.410004,114.544937,4930600
2016-08-04,139.460007,140.160004,139.270004,139.449997,115.405602,5646000
2016-08-05,139.050003,139.179993,137.820007,138.000000,114.205612,7778600
2016-08-08,137.600006,138.539993,137.320007,138.259995,114.420845,5185200
2016-08-09,138.710007,139.720001,138.619995,139.619995,115.546356,5503200
2016-08-10,139.899994,140.509995,139.470001,140.160004,115.993156,5843500
2016-08-11,140.059998,140.080002,138.539993,138.910004,114.958755,7624600
2016-08-12,140.410004,140.860001,139.869995,140.080002,115.926994,7989600
2016-08-15,139.339996,139.630005,138.750000,138.759995,114.834602,5108600
2016-08-16,138.979996,139.149994,138.229996,138.389999,114.528412,6182700
2016-08-17,138.630005,139.440002,138.500000,139.220001,115.215317,5002000
2016-08-18,139.199997,139.759995,138.789993,139.440002,115.397400,3805200
2016-08-19,138.639999,139.050003,138.100006,138.710007,114.793221,5516300
2016-08-22,139.649994,140.139999,139.369995,139.880005,115.761475,5549700
2016-08-23,140.270004,140.589996,139.669998,140.029999,115.885605,6841400
2016-08-24,140.100006,140.190002,139.389999,139.699997,115.612556,6027800
2016-08-25,139.259995,139.779999,138.960007,139.169998,115.173897,5855500
2016-08-26,139.729996,140.690002,138.220001,138.360001,114.503555,12962500
2016-08-29,139.380005,140.350006,139.210007,140.210007,116.034561,7310400
2016-08-30,140.169998,140.259995,139.669998,139.669998,115.587692,5161800
2016-08-31,139.660004,140.169998,139.339996,139.869995,115.753189,7349700
2016-09-01,138.619995,140.100006,138.570007,139.770004,115.880898,9149100
2016-09-02,138.960007,139.050003,138.169998,138.630005,114.935753,8397000
2016-09-06,138.710007,140.080002,138.509995,139.639999,115.773117,8542600
2016-09-07,140.369995,140.419998,139.539993,139.539993,115.690186,5421800
2016-09-08,138.860001,139.270004,137.259995,137.789993,114.239311,14301500
2016-09-09,136.070007,136.119995,135.410004,135.520004,112.357338,13347700
2016-09-12,135.320007,135.830002,135.160004,135.589996,112.415321,9096600
2016-09-13,135.869995,136.000000,133.360001,134.050003,111.138550,15645400
2016-09-14,134.050003,134.910004,134.050003,134.250000,111.304337,7037700
2016-09-15,133.610001,134.050003,133.029999,133.669998,110.823524,9874500
2016-09-16,134.580002,134.809998,134.220001,134.750000,111.718895,7507900
2016-09-19,134.520004,134.869995,134.250000,134.309998,111.354156,7105900
2016-09-20,135.149994,135.580002,134.669998,134.779999,111.743767,6054800
2016-09-21,134.600006,135.889999,134.179993,135.869995,112.647522,10698100
2016-09-22,136.669998,137.289993,136.500000,136.949997,113.542892,12426200
2016-09-23,137.029999,137.339996,136.710007,136.820007,113.435112,5928800
2016-09-26,137.070007,137.830002,137.020004,137.690002,114.156387,8661300
2016-09-27,138.589996,138.800003,137.949997,138.699997,114.993790,9450400
2016-09-28,138.500000,139.149994,138.220001,138.399994,114.745087,7958700
2016-09-29,137.559998,139.070007,137.449997,138.750000,115.035210,8319800
2016-09-30,138.550003,138.639999,136.869995,137.509995,114.007141,11747100
2016-10-03,137.679993,137.770004,136.759995,136.809998,113.630936,7588800
2016-10-04,136.619995,136.839996,135.160004,135.210007,112.302017,12048700
2016-10-05,135.020004,135.080002,134.119995,134.580002,111.778709,8917700
2016-10-06,133.970001,134.690002,133.679993,133.830002,111.155800,7839900
2016-10-07,133.929993,134.289993,133.089996,133.919998,111.230568,9953200
2016-10-10,132.850006,133.160004,132.509995,133.130005,110.574471,6089100
2016-10-11,132.860001,133.550003,132.570007,132.830002,110.325218,9670400
2016-10-12,132.669998,133.020004,132.240005,132.960007,110.433228,7582400
2016-10-13,133.639999,133.929993,133.369995,133.460007,110.848457,7080600
2016-10-14,132.270004,132.949997,131.529999,131.589996,109.295349,11415100
2016-10-17,132.100006,132.740005,132.089996,132.429993,109.992996,10595900
2016-10-18,131.860001,132.889999,131.830002,132.860001,110.350174,7151000
2016-10-19,132.369995,133.270004,132.320007,132.970001,110.441505,6941300
2016-10-20,133.639999,133.750000,132.899994,133.110001,110.557808,6082300
2016-10-21,133.520004,133.720001,132.869995,133.309998,110.723907,9222700
2016-10-24,133.410004,133.449997,132.289993,132.729996,110.242210,6507500
2016-10-25,132.529999,133.559998,132.490005,133.080002,110.532867,5134700
2016-10-26,132.460007,132.800003,131.990005,132.179993,109.785378,5842500
2016-10-27,131.070007,131.070007,130.059998,130.740005,108.589333,10044700
2016-10-28,130.389999,130.929993,130.330002,130.449997,108.348457,7541000
2016-10-31,130.889999,131.289993,130.710007,131.250000,109.012939,7047500
2016-11-01,130.160004,131.600006,129.880005,131.009995,109.021255,12622400
2016-11-02,131.300003,132.110001,131.029999,131.580002,109.495605,8666200
2016-11-03,130.750000,131.050003,130.440002,130.570007,108.655090,6085400
2016-11-04,131.270004,131.789993,131.130005,131.740005,109.628754,7622600
2016-11-07,130.750000,131.000000,130.440002,130.619995,108.696747,5386700
2016-11-08,131.020004,131.210007,129.710007,130.089996,108.255707,7576500
2016-11-09,127.220001,127.370003,124.220001,124.570000,103.662163,31233500
2016-11-10,123.970001,124.959999,122.720001,122.730003,102.130966,22961200
2016-11-11,122.959999,123.050003,121.650002,122.040001,101.556763,10040200
2016-11-14,121.279999,122.660004,120.730003,121.309998,100.949280,21174400
2016-11-15,122.220001,122.809998,121.779999,121.910004,101.448616,11963700
2016-11-16,122.300003,123.139999,122.169998,123.010002,102.364006,9149500
2016-11-17,121.949997,122.110001,120.989998,121.199997,100.857773,11221600
2016-11-18,121.629997,121.970001,120.339996,120.849998,100.566505,13577700
2016-11-21,121.209999,121.480003,120.889999,121.150002,100.816139,6488100
2016-11-22,121.660004,121.760002,120.879997,121.110001,100.782852,9989900
2016-11-23,119.989998,120.910004,119.250000,120.639999,100.391762,13563500
2016-11-25,121.190002,121.290001,120.400002,120.820000,100.541542,3126300
2016-11-28,121.410004,121.730003,121.089996,121.709999,101.282181,8555000
2016-11-29,121.440002,122.400002,121.209999,122.220001,101.706589,8363000
2016-11-30,119.970001,121.010002,119.480003,120.239998,100.058899,21163500
2016-12-01,118.510002,118.989998,117.639999,118.730003,99.002411,21715700
2016-12-02,119.169998,120.209999,119.139999,119.599998,99.727859,12487500
2016-12-05,118.930000,120.400002,118.449997,119.470001,99.619453,12100100
2016-12-06,119.339996,119.940002,119.120003,119.379997,99.544380,11526600
2016-12-07,119.820000,120.620003,119.820000,120.400002,100.394913,10392200
2016-12-08,119.150002,119.309998,118.779999,118.980003,99.210907,12041100
2016-12-09,118.639999,118.860001,117.279999,117.500000,97.976784,14646400
2016-12-12,117.269997,117.800003,116.879997,117.720001,98.160233,9496300
2016-12-13,118.400002,118.489998,117.440002,118.139999,98.510437,12189200
2016-12-14,119.080002,119.209999,116.800003,116.820000,97.409752,16618400
2016-12-15,117.559998,118.290001,117.029999,117.410004,97.901772,12400500
2016-12-16,117.610001,117.919998,116.800003,117.139999,97.676598,14924600
2016-12-19,117.980003,118.580002,117.739998,118.400002,98.727234,10868300
2016-12-20,117.629997,117.900002,117.379997,117.809998,98.235283,7030600
2016-12-21,117.919998,118.400002,117.730003,118.330002,98.668861,4624700
2016-12-22,117.529999,118.000000,117.500000,117.809998,98.492493,5177800
2016-12-23,118.239998,118.389999,117.949997,118.050003,98.693100,4461600
2016-12-27,117.419998,117.699997,117.230003,117.669998,98.375412,5276600
2016-12-28,117.860001,118.879997,117.699997,118.529999,99.094376,7578600
2016-12-29,118.800003,119.269997,118.660004,118.949997,99.445541,8581400
2016-12-30,118.779999,119.650002,118.720001,119.129997,99.596054,10613900
2017-01-03,118.410004,119.989998,118.180000,119.639999,100.022423,13217300
2017-01-04,119.760002,120.239998,119.449997,120.099998,100.406975,6699600
2017-01-05,120.449997,122.029999,120.169998,121.980003,101.978729,13265800
2017-01-06,121.129997,121.540001,120.750000,120.860001,101.042328,8369300
2017-01-09,121.879997,122.000000,121.459999,121.830002,101.853271,8839100
2017-01-10,121.550003,121.910004,121.279999,121.750000,101.786430,8417900
2017-01-11,121.940002,122.690002,121.410004,122.160004,102.129204,9402500
2017-01-12,122.800003,123.139999,121.830002,121.889999,101.903458,9977600
2017-01-13,121.330002,121.750000,120.620003,121.309998,101.418587,9820000
2017-01-17,122.809998,122.940002,121.989998,122.580002,102.480339,7853300
2017-01-18,121.769997,121.959999,120.910004,121.010002,101.167778,9064700
2017-01-19,120.489998,120.580002,119.550003,120.180000,100.473854,11795600
2017-01-20,119.839996,120.309998,119.290001,119.940002,100.273193,16953200
2017-01-23,120.339996,121.870003,120.019997,121.139999,101.276428,13118400
2017-01-24,120.769997,121.129997,119.800003,120.309998,100.582558,8395000
2017-01-25,119.279999,119.599998,118.559998,118.800003,99.320160,11115100
2017-01-26,118.910004,119.260002,118.330002,119.199997,99.654564,7827900
2017-01-27,119.400002,119.830002,119.250000,119.629997,100.014008,7197800
2017-01-30,119.440002,119.879997,119.199997,119.269997,99.713104,6569500
2017-01-31,119.330002,120.400002,119.250000,120.099998,100.406975,13298500
2017-02-01,119.099998,119.529999,118.580002,119.099998,99.786148,10975500
2017-02-02,119.930000,120.139999,119.000000,119.050003,99.744270,6978600
2017-02-03,119.440002,119.870003,118.470001,119.000000,99.702385,10275600
2017-02-06,119.760002,120.129997,119.120003,119.720001,100.305618,8433800
2017-02-07,119.779999,121.010002,119.470001,120.599998,101.042900,8418400
2017-02-08,121.419998,122.269997,121.410004,122.239998,102.416962,15734200
2017-02-09,121.410004,121.589996,120.660004,120.830002,101.235611,16890600
2017-02-10,120.110001,120.949997,120.110001,120.760002,101.176956,7978500
2017-02-13,120.250000,120.410004,119.879997,120.379997,100.858566,11536800
2017-02-14,120.239998,120.300003,118.830002,119.510002,100.129662,13210500
2017-02-15,118.760002,119.220001,118.650002,118.959999,99.668823,8481000
2017-02-16,119.220001,120.209999,119.120003,119.610001,100.213440,10005800
2017-02-17,120.610001,120.699997,120.129997,120.320000,100.808327,7886400
